ID	Station Name	Lat	Lon	BI
4.25001E+11	Larned	38.18	-99.1	15
4.25004E+11	Tooele	40.53	-112.3	22
5.01947E+11	Cootamundra	-34.63	148.02	0
1.48627E+11	Karima	18.55	31.85	11
2.22257E+11	Kamenskoe	62.43	166.08	0
4.25E+11	Muscle Shoals Ap	34.74	-87.6	25
1.6562E+11	Saint-Denis/G	-20.88	55.52	20
5.05486E+11	Cameron Highlands	4.47	101.38	20
4.25003E+11	Enid	36.42	-97.87	40
6.35127E+11	Lesko	49.47	22.33	10
1.3864E+11	Seychelles In	-4.67	55.52	7
2.23404E+11	Wejh	26.2	36.47	0
4.25746E+11	Hannibal            Usa	39.7	-91.4	25
2.05578E+11	Tongdao	26.17	109.78	0
5.01946E+11	Brookton	-32.37	117	0
4.2479E+11	Piarco Int. A	10.62	-61.35	19
4.25002E+11	Lockwood	37.39	-93.95	14
6.38342E+11	Saratov	51.57	46.03	64
6.38272E+11	Kirov	58.52	49.32	10
5.01948E+11	Mount Barker	-35.07	138.85	11
6.1403E+11	Helsinki/Seutula	60.3	25	96
6.49171E+11	Bahcekoy Orman	41.2	29.1	10
3.03822E+11	Santarem/Taperinha	-2.4	-54.3	0
4.03715E+11	"Port Alberni,"	49.25	-124.83	15
4.25003E+11	Hay Springs 12 S	42.51	-102.69	0
2.19418E+11	Jiwani	25.07	61.8	0
4.25724E+11	Dover/Afb	39.13	-75.47	29
2.05599E+11	Yaxian	18.23	109.52	29
4.03719E+11	"Waseca,Sa"	53.13	-109.4	0
1.31673E+11	Quelimane	-17.88	36.88	0
5.01945E+11	Moree Mo	-29.47	149.85	18
2.0141E+11	Kandahar Airp	31.5	65.85	0
4.03716E+11	Owen Sound Moe      Can	ada        44.60	-80.9	31
4.03719E+11	"Port Simpson,Bc"	54.57	-130.43	0
2.05576E+11	Xiushui	29.03	114.58	0
4.03719E+11	"Gleichen,Al"	50.88	-113.05	13
2.0551E+11	Shangzhi	45.22	127.97	17
4.03711E+11	"Lost River,Sa"	53.28	-104.33	0
4.0372E+11	"Burwash A,Yt"	61.37	-139.05	0
2.05561E+11	Dege	31.73	98.57	0
4.03719E+11	"Dawson Creek A,Bc"	55.73	-120.18	10
2.07429E+11	Nagpur Sonega	21.1	79.05	14
2.22254E+11	Mys Uelen	66.17	-169.83	0
4.03719E+11	"Chinook Cove,Bc"	51.25	-120.18	0
6.23162E+11	Pisa/S. Giust	43.68	10.38	12
6.49171E+11	Kangal	39.2	37.4	0
2.08407E+11	Tabriz	38.08	46.28	74
4.15787E+11	Juigalpa	12.1	-85.37	11
6.26264E+11	Riga	56.97	24.05	51
2.11365E+11	Kokpekty	48.75	82.37	0
4.25E+11	Wasco	35.6	-119.35	18
6.49171E+11	Ardahan	41.1	42.7	10
4.25004E+11	Green River Aviation	38.99	-110.15	16
2.24435E+11	"Diyatalawa, Sri"	6.8	81	0
4.25723E+11	Wink/Faa Airport	31.78	-103.2	0
5.03972E+11	Ujang Pandang	-5.07	119.55	8
4.12787E+11	Tegucigalpa	14.05	-87.22	21
4.25002E+11	Amite	30.71	-90.53	13
1.28615E+11	Boutilimit	17.53	-14.68	0
4.23781E+11	"Abraham Bay,"	22.37	-72.97	0
4.25002E+11	Plymouth-Kingston	41.98	-70.7	42
4.25002E+11	Steffenville	39.97	-91.89	0
4.25725E+11	New York/Fort Totten	40.78	-73.77	92
4.25004E+11	Williamsport Rgnl Ap	41.24	-76.92	14
6.38372E+11	Groznyj	43.35	45.68	17
3.01873E+11	San Juan Aero	-31.57	-68.87	0
3.12812E+11	Zorg En Hoop	5.82	-55.18	25
1.40632E+11	Berbera	10.42	45.02	0
4.25002E+11	Franklin 3 Nw	29.82	-91.54	17
4.12787E+11	Guanaja	16.47	-85.92	0
1.26676E+11	Lilongwe Malawi/S. Rhod	esi       -14.00	33.7	0
4.03717E+11	"Northeast Margaree,Ns"	46.33	-60.97	0
5.01945E+11	Tibooburra	-29.42	142.02	0
5.0196E+11	Strathgordon	-42.77	146.05	0
4.25003E+11	Claremore 2 Ene	36.32	-95.58	31
2.2236E+11	Rubcovsk	51.5	81.22	17
4.25002E+11	Huntley Exp Stn	45.92	-108.24	0
3.02852E+11	Cochabamba	-17.42	-66.18	30
5.01955E+11	Coober Pedy A	-29.03	134.72	0
4.03719E+11	"Edson,Al"	53.58	-116.42	26
2.05509E+11	Uliastai	45.5	118	0
4.25003E+11	Fullerton 1 Ese	46.16	-98.4	0
2.05574E+11	Zhongxiang	31.17	112.57	10
4.25004E+11	Modena	37.8	-113.93	0
4.0372E+11	"Carcross,Yt"	60.18	-134.7	0
4.25003E+11	Deposit	42.06	-75.43	10
4.25722E+11	Columbus/Metropolitan A	rpt        32.52	-84.95	72
4.25E+11	Electra P H	38.33	-120.67	0
4.25001E+11	Dillon 1 E	39.63	-106.04	31
1.07649E+11	Batouri	4.47	14.37	0
4.25724E+11	Washington/Du	38.95	-77.45	44
4.25003E+11	Tekamah	41.79	-96.23	13
4.25003E+11	Newkirk 1Nw	36.89	-97.06	10
6.46066E+11	Payerne	46.82	6.95	14
3.01874E+11	Villa Reynold	-33.73	-65.38	0
4.03717E+11	"Fort Frances,On"	48.62	-93.42	58
6.41119E+11	Sliac	48.65	19.15	11
4.25723E+11	San Angelo/Ma	31.37	-100.5	14
4.25003E+11	Gage	32.23	-108.09	0
4.25003E+11	Minden	40.52	-98.95	13
4.14766E+11	"Rio Verde,S.L"	21.85	-100	0
1.03653E+11	Natitingou	10.32	1.38	0
4.14767E+11	"Cuichapa, Veracruz"	18.77	-96.87	0
4.03716E+11	"Huntingdon,Qu"	45.05	-74.17	9
4.03719E+11	Nain                Can	ada        56.60	-61.7	0
2.10478E+11	Maizuru	35.45	135.32	18
4.03719E+11	"Coppermine,N."	67.82	-115.13	8
5.01945E+11	Goondiwindi Post Office	-28.55	150.3	12
4.25E+11	Holbrook	34.91	-110.15	16
4.25003E+11	Circleville	39.61	-82.95	29
4.03711E+11	"Invermere,Bc"	50.5	-116.03	10
3.13866E+11	Rocha	-34.48	-54.3	18
4.25723E+11	Jackson/Fcwos Ap	35.6	-88.92	10
5.0195E+11	Macquarie Isl	-54.48	158.95	0
4.25001E+11	Telluride 4Wnw	37.95	-107.87	8
2.28483E+11	Chiang Mai	18.78	98.98	43
4.25722E+11	Jacksonville/Cecil Fld	Nas        30.22	-81.88	14
4.25001E+11	Princeton 1 W	38.36	-87.59	34
4.25002E+11	Valier	48.31	-112.25	10
1.09647E+11	Bambari	5.85	20.65	0
2.03419E+11	Satkhira	22.72	89.08	9
2.15442E+11	Tarialan	49.57	102	0
4.03719E+11	"Kipling,Sa"	50.2	-102.73	0
4.25725E+11	Ottumwa/Industrial Ap	41.1	-92.45	8
2.22259E+11	Magadan	59.55	150.78	22
1.1162E+11	Ile Juan De N	-17.05	42.7	0
4.25726E+11	North Platte/	41.13	-100.68	13
1.01605E+11	Oran	35.7	-0.65	55
4.03718E+11	"Chibougamau,Qu"	49.92	-74.37	25
4.03719E+11	"Shepherd Bay,"	68.82	-93.43	0
6.49171E+11	Tavsanli	39.6	29.5	0
5.04915E+11	Fanning Islan	3.85	-159.37	0
4.25726E+11	Idaho Falls/Faa Airport	43.52	-112.07	44
4.03711E+11	"Big Creek,Bc"	51.72	-123.03	0
4.07785E+11	Monte Plata Dominican R	epu        18.80	-69.8	0
6.1507E+11	Cherbourg-Maupertus	49.7	-1.5	0
6.11115E+11	Praha-Libus	50.02	14.45	45
4.25723E+11	Greensboro/G.	36.08	-79.95	55
4.25723E+11	Corpus Christi/Nas	27.68	-97.28	34
3.09847E+11	Ayacucho	-13.13	-74.22	12
2.10477E+11	Ajiro	35.05	139.1	11
4.03714E+11	"Sackville,Nb"	45.9	-64.38	22
7.00899E+11	Possession Island	-71.9	171.2	0
4.03712E+11	"Burgeo 2,Nf"	47.62	-57.62	10
4.25001E+11	Toccoa	34.58	-83.33	27
4.03719E+11	"Beaverlodge Cda,Al"	55.2	-119.4	14
6.4917E+11	Unye	41.1	37.3	0
5.01942E+11	Mandora	-19.75	120.85	0
4.25003E+11	Broken Bow 2 W	41.41	-99.68	17
2.07431E+11	Cwc Vishakhap	17.7	83.3	23
4.25003E+11	Kenton	40.65	-83.61	30
4.03718E+11	"Deer Lake, Nf"	49.22	-57.4	9
2.07421E+11	Ludhiana	30.9	75.9	38
1.28614E+11	Bir Moghrein	25.23	-11.62	0
2.29387E+11	Cardzou	39.08	63.6	19
2.24435E+11	Nuwara Eliya	6.97	80.77	9
6.49171E+11	Istanbul/Gozt	40.97	29.08	43
4.25005E+11	Pineville	37.57	-81.54	10
4.25723E+11	San Diego/Mir	32.85	-117.12	47
4.25E+11	Eureka Springs 3 Wnw	36.42	-93.79	0
2.07433E+11	Port Blair	11.67	92.72	11
4.25001E+11	Fairfield	41.02	-91.96	30
4.25E+11	Miami	33.4	-110.87	21
2.0558E+11	Suichang	26.33	114.5	0
4.25725E+11	Burlington/Airport	40.78	-91.12	22
5.01944E+11	Rockhampton A	-23.38	150.47	15
4.03717E+11	"Turbine,On"	46.38	-81.57	0
5.01943E+11	Yuendumu	-22.25	131.78	0
